,Aspect ratio,Countour area,R average,G average,B average,R 0.25 % quantile,G 0.25 % quantile,B 0.25 % quantile,R 97.5 % quantile,G 97.5 % quantile,B 97.5 % quantile,Class
23,0.6447368421052632,5283.0,206.93094308035714,203.91071428571428,205.98842075892858,79.0,43.0,62.0,218.0,218.0,219.0,4.0
24,1.0505050505050506,3609.5,214.44529257015307,211.4219746492347,213.23461415816325,102.0,55.0,82.0,224.0,224.0,224.0,4.0
25,0.5506329113924051,5248.0,218.3816764987245,214.88671875,218.48862005739795,51.0,52.0,70.0,234.0,234.0,235.0,2.0
26,1.1023622047244095,6426.0,220.0172791772959,218.4656608737245,219.8474968112245,47.0,47.0,51.0,238.0,238.0,238.0,2.0
27,1.3131313131313131,6795.5,217.7345742984694,215.93490911989795,217.18833705357142,57.0,49.0,54.0,236.0,236.0,236.0,3.0
28,1.202020202020202,5815.0,213.41593590561226,211.8851243622449,212.76229671556123,51.0,46.0,48.0,232.0,232.0,233.0,3.0
29,0.7872340425531915,3000.0,246.43403220663265,246.45707110969389,246.5458386479592,97.0,103.0,100.0,255.0,255.0,255.0,0.0
30,1.8105263157894738,7958.0,214.74986049107142,212.90896045918367,214.26395089285714,51.0,45.0,50.0,236.0,236.0,236.0,3.0
31,1.188034188034188,7815.0,217.44708625637756,215.41543765943877,217.15628985969389,57.0,48.0,56.0,236.0,236.0,237.0,3.0
32,1.3157894736842106,8290.5,217.4437181122449,215.2316047512755,216.84281329719389,55.0,47.0,52.0,238.0,238.0,238.0,3.0
33,0.7185185185185186,6360.0,227.14564732142858,223.00227200255102,226.16671316964286,63.0,59.0,64.0,244.0,244.0,244.0,2.0
34,1.0,18454.5,169.01323341836735,167.91462053571428,169.1681281887755,65.0,39.0,58.0,181.0,181.0,183.0,4.0
35,0.9453125,8025.0,226.8113241390306,226.12513950892858,227.87655452806123,42.0,47.0,51.0,248.0,248.0,248.0,1.0
36,1.2551020408163265,5044.5,226.61999760841837,226.32577327806123,226.28079161352042,38.0,42.0,36.0,244.0,244.0,244.0,1.0
37,0.8679245283018868,5633.5,213.52208227040816,210.19088807397958,212.31893734056123,80.0,44.0,58.0,225.0,225.0,226.0,4.0
38,0.7969924812030075,5345.0,226.6240832270408,225.5374083227041,226.08262914540816,66.0,62.0,64.0,241.0,241.0,241.0,1.0
39,0.88,3477.0,225.04886798469389,224.48788265306123,225.12388392857142,55.0,55.0,60.0,238.0,238.0,238.0,0.0
40,0.7807017543859649,4564.5,238.86648995535714,238.17996651785714,238.61945950255102,59.0,57.0,57.0,251.0,251.0,251.0,0.0
41,1.1095890410958904,2606.5,226.57854352678572,226.3160475127551,226.62699298469389,62.0,59.0,62.0,240.0,240.0,240.0,0.0
42,0.946236559139785,3310.5,236.6764987244898,236.78378109056123,236.51432955994898,67.0,75.0,65.0,248.0,248.0,248.0,1.0
43,0.8309859154929577,2623.0,218.88374920280611,217.51584422831633,218.21615911989795,103.0,64.0,87.0,227.0,227.0,227.0,4.0
44,1.1401869158878504,5152.0,226.3688815369898,226.0745774872449,226.02535076530611,37.0,41.0,36.0,244.0,244.0,244.0,1.0
45,0.9629629629629629,2511.5,242.25520169005102,245.28894292091837,241.818359375,84.0,85.0,91.0,251.0,251.0,255.0,0.0
46,0.8867924528301887,4041.0,238.53571428571428,237.8493104272959,238.27654655612244,58.0,56.0,55.0,251.0,251.0,251.0,0.0
47,1.2452830188679245,6587.5,221.25577965561226,218.94393734056123,221.67044005102042,44.0,44.0,54.0,240.0,240.0,241.0,2.0
48,1.2551724137931035,10815.5,220.2869100765306,214.4952168367347,219.5984733737245,49.0,44.0,59.0,249.0,249.0,252.0,2.0
49,0.7169811320754716,8120.0,225.19377790178572,222.09470663265307,224.50619818239795,60.0,49.0,57.0,246.0,246.0,247.0,3.0
50,1.2881355932203389,9216.0,220.3505859375,219.94740513392858,220.35313695790816,40.0,42.0,41.0,246.0,246.0,246.0,1.0
51,0.875,2783.0,236.9802096619898,235.89783960459184,236.9464485012755,77.0,70.0,76.375,246.0,246.0,246.0,0.0
52,1.1967213114754098,8931.5,217.1915656887755,214.9767617984694,216.63313137755102,53.0,46.0,51.0,238.0,238.0,239.0,3.0
53,0.891566265060241,3016.0,245.08621651785714,245.07282366071428,245.23816167091837,98.0,90.0,94.0,254.0,254.0,255.0,0.0
54,1.1951219512195121,3233.0,231.48891900510205,231.8020567602041,231.4141222895408,65.0,79.0,64.0,245.0,245.0,244.0,1.0
55,0.9172932330827067,7168.0,228.17329001913265,227.34137834821428,229.12834821428572,46.0,51.0,55.0,249.0,249.0,249.0,1.0
56,0.6954314720812182,7098.0,215.18957270408163,213.80064174107142,215.4041972257653,41.0,38.0,44.0,240.0,240.0,243.0,2.0
57,0.8455284552845529,7390.5,223.6100526147959,221.41872608418367,222.93602519132654,70.0,60.0,66.0,242.0,242.0,243.0,3.0
58,0.75,2109.0,237.91974250637756,237.45776865433675,237.74441964285714,105.0,95.375,101.0,247.0,247.0,247.0,0.0
59,0.5231788079470199,4909.0,226.7711256377551,226.3134167729592,226.52088647959184,63.0,60.0,62.0,242.0,242.0,242.0,1.0
60,1.0616438356164384,9256.0,223.76460857780611,220.646484375,223.3302774234694,61.0,55.0,60.0,246.0,246.0,246.0,3.0
61,1.4594594594594594,8063.0,216.7725605867347,214.75540098852042,216.21061862244898,54.0,46.0,52.0,237.0,237.0,238.0,3.0
62,1.0795454545454546,3144.5,234.2470105229592,233.07908163265307,234.20561623086735,70.0,64.0,73.0,244.0,244.0,244.0,0.0
63,1.1756756756756757,3450.0,229.1657565369898,228.8291015625,229.0965202487245,58.0,57.0,56.375,240.0,240.0,241.0,0.0
64,1.114864864864865,12976.5,214.85873724489795,208.1439134247449,213.51990991709184,39.0,35.0,41.0,248.0,248.0,252.0,2.0
65,0.8048780487804879,2728.5,238.79380580357142,238.36186623086735,238.64831792091837,73.0,66.0,70.0,249.0,249.0,249.0,0.0
66,1.4634146341463414,10719.5,218.8919005102041,213.0047233737245,218.1943957270408,48.0,43.0,57.0,248.0,248.0,252.0,2.0
67,1.7474747474747474,9282.5,218.5353156887755,216.1113879145408,217.7354113520408,55.0,50.0,53.0,244.0,244.0,244.0,3.0
68,1.2571428571428571,2758.0,241.96231265943877,242.5799784757653,241.96340880102042,76.0,97.0,79.0,252.0,252.0,252.0,1.0
69,0.9104477611940298,6319.5,217.8456034757653,215.5289381377551,217.59578284438774,66.0,53.0,64.0,234.0,234.0,234.0,3.0
70,1.3333333333333333,3050.5,242.80464764030611,242.39239875637756,242.6969666772959,77.0,75.0,80.0,253.0,253.0,252.0,0.0
71,1.2125984251968505,8925.0,224.92727598852042,223.7509167729592,224.61969866071428,44.0,49.0,47.375,248.0,248.0,249.0,1.0
72,0.6833333333333333,5283.5,212.9240872130102,211.4706034757653,212.4103156887755,60.0,48.0,55.0,227.0,227.0,227.0,3.0
73,0.4511627906976744,5829.0,182.45260682397958,181.90186543367346,182.60391422193877,52.0,32.0,43.0,194.0,194.0,196.0,4.0
74,0.6696428571428571,8509.0,183.33677455357142,182.42972735969389,183.16537786989795,85.0,56.0,78.0,194.0,194.0,196.0,4.0
75,1.6029411764705883,3473.0,238.5461973852041,236.97367267219389,238.87775031887756,72.0,65.0,74.0,249.0,249.0,249.0,0.0
76,0.6605504587155964,3290.0,198.3858019770408,197.13315130739795,197.88000239158163,79.0,47.0,67.0,207.0,207.0,207.0,4.0
77,1.1240875912408759,9733.5,225.6232461734694,225.6263352997449,225.14050542091837,45.0,49.0,46.0,250.0,250.0,254.0,1.0
78,0.5337423312883436,5381.5,195.57824457908163,194.96486367984693,195.22837611607142,107.0,68.0,99.0,207.0,207.0,210.0,4.0
79,0.7393939393939394,5600.5,221.3942323022959,217.2599649234694,219.99780771683675,87.375,49.0,64.0,234.0,234.0,234.0,4.0
80,1.3066666666666666,3308.0,241.17570153061226,240.74764827806123,241.04408482142858,65.0,63.0,63.375,251.0,251.0,251.0,0.0
81,0.8846153846153846,2615.0,239.52026865433675,238.85590720663265,239.24764827806123,80.0,68.0,71.0,248.0,248.0,248.0,0.0
82,1.0419580419580419,7857.5,210.2987683354592,208.30046237244898,209.9529257015306,63.0,50.0,60.0,226.0,226.0,226.0,3.0
83,0.8888888888888888,5293.5,214.46410634566325,213.66489955357142,214.49240672831633,42.0,41.0,48.0,230.0,230.0,230.0,2.0
84,1.0846153846153845,8861.5,214.7307278380102,212.4612364477041,214.0553053252551,55.0,47.0,52.0,235.0,235.0,235.0,3.0
85,1.2702702702702702,5196.0,199.45896444515307,196.96189413265307,198.54719387755102,93.0,49.0,78.0,209.0,209.0,209.0,4.0
86,1.3780487804878048,3832.0,220.55743781887756,220.14403300382654,220.42530293367346,44.0,43.0,43.0,233.0,233.0,233.0,0.0
87,1.2236842105263157,2965.0,229.16167091836735,228.83406409438774,229.23102678571428,79.0,74.0,80.0,241.0,241.0,241.0,0.0
88,1.3918918918918919,3819.0,239.91561702806123,243.0071946747449,240.6300821109694,64.0,64.0,66.375,252.0,252.0,255.0,0.0
89,0.868421052631579,2715.5,195.5734016262755,194.31130420918367,195.0712292729592,78.0,45.0,66.0,204.0,204.0,204.0,4.0
90,0.7473684210526316,3221.5,221.92825255102042,220.68781887755102,221.90668845663265,69.0,62.0,69.0,232.0,232.0,232.0,0.0
91,1.2612612612612613,7274.5,218.88634008290816,216.85981345663265,218.3368144132653,59.0,51.0,56.0,237.0,237.0,237.0,3.0
92,0.6951219512195121,2614.5,241.18064413265307,240.76843510841837,240.99968112244898,78.0,70.0,73.0,252.0,252.0,251.0,0.0
93,0.651685393258427,8558.0,228.25882892219389,225.03581393494898,227.58689413265307,57.0,48.0,54.0,249.0,249.0,250.0,3.0
94,0.7007874015748031,5386.0,221.38793447066325,220.3600924744898,221.09877232142858,63.0,57.0,61.0,236.0,236.0,236.0,3.0
95,0.8472222222222222,2116.5,241.7078483737245,241.09695870535714,241.41942362882654,98.0,83.0,88.0,249.0,249.0,249.0,0.0
96,1.0254237288135593,4861.5,197.12653459821428,194.3146125637755,196.12193080357142,91.0,47.0,76.0,207.0,207.0,207.0,4.0
97,1.1320754716981132,4316.0,235.01205755739795,234.81770169005102,234.6836933992347,58.0,61.0,55.0,249.0,249.0,249.0,1.0
98,1.64,7899.5,220.77696508290816,218.49266581632654,220.0323262117347,57.0,53.0,55.0,244.0,244.0,245.0,3.0
99,1.0909090909090908,7812.5,226.20216836734693,224.8341438137755,226.80343191964286,54.0,53.0,60.0,247.0,247.0,247.0,1.0
100,0.7904761904761904,4415.5,213.58523995535714,210.85062579719389,212.51271524234693,77.0,43.0,58.0,226.0,226.0,226.0,4.0
101,0.8301886792452831,4606.0,238.0379862882653,238.48680644132654,238.06869818239795,61.0,69.0,60.0,252.0,252.0,253.0,1.0
102,1.2767857142857142,7437.0,227.77234135841837,227.0232780612245,228.80317283163265,55.0,61.0,68.0,248.0,248.0,248.0,1.0
103,0.7829457364341085,5223.0,226.93558673469389,226.23881935586735,226.5061184630102,59.0,58.0,58.0,244.0,244.0,244.0,1.0
104,1.25,5453.0,233.71932796556123,233.64014668367346,233.4651426977041,50.0,56.0,49.0,250.0,250.0,250.0,1.0
105,1.032967032967033,3889.0,239.6222297512755,241.32409917091837,240.15734614158163,63.0,61.0,63.0,252.0,252.0,255.0,0.0
106,0.6044776119402985,4836.0,226.91751036352042,225.8955676020408,226.43893494897958,68.0,62.375,66.0,241.0,241.0,241.0,1.0
107,0.6190476190476191,2256.0,234.18327487244898,233.69429607780611,233.9875039859694,97.375,86.0,92.375,245.0,245.0,245.0,0.0
108,1.0696202531645569,11324.5,207.1494738520408,201.63428730867346,206.5725645727041,45.0,39.0,49.0,234.0,234.0,235.0,2.0
109,1.280701754385965,8189.0,220.8253946109694,220.42781409438774,220.6681281887755,38.0,42.0,40.0,246.0,246.0,247.0,1.0
110,1.0125,3068.5,244.4415058992347,244.4681321747449,244.39704241071428,92.0,87.0,90.0,253.0,253.0,254.0,0.0
111,0.6101694915254238,2619.5,235.48963647959184,235.00253109056123,235.38366948341837,91.0,81.0,85.375,244.0,244.0,244.0,0.0
112,1.2268041237113403,5295.0,218.33904655612244,216.49870455994898,218.12272799744898,68.0,56.0,66.375,234.0,234.0,234.0,3.0
113,0.8983050847457628,4133.5,192.14313616071428,190.1608338647959,191.4025430484694,86.0,46.0,69.0,201.0,201.0,201.0,4.0
114,1.457142857142857,7630.5,228.02505181760205,227.34644052933675,228.98726482780611,56.0,63.0,68.0,248.0,248.0,249.0,1.0
115,0.84472049689441,7137.5,221.8426139987245,222.20362324617346,221.98288026147958,31.0,40.0,35.0,244.0,244.0,244.0,1.0
116,0.6666666666666666,2917.0,230.20645328443877,229.3048867984694,230.28292410714286,65.0,58.0,66.0,240.0,240.0,240.0,0.0
117,0.7578947368421053,2917.0,243.1788105867347,242.77541055484693,243.5936902104592,96.0,86.0,93.0,251.0,251.0,252.0,0.0
118,1.2432432432432432,3739.5,241.60409359056123,243.85301737882654,242.81343670280611,71.0,69.0,70.0,253.0,253.0,255.0,0.0
119,1.1081081081081081,2812.5,221.94011080994898,221.55739795918367,221.81202168367346,51.0,46.0,48.0,233.0,233.0,233.0,0.0
120,0.6446700507614214,6783.5,225.70396205357142,224.62260841836735,225.3856425382653,66.0,62.0,66.0,244.0,244.0,244.0,1.0
121,1.106060606060606,2586.0,243.0770886479592,242.86264349489795,243.18809789540816,85.0,89.0,92.0,252.0,252.0,252.0,0.0
122,1.5068493150684932,3893.0,240.1727519132653,242.85257892219389,240.91485969387756,63.0,63.0,65.0,253.0,253.0,255.0,0.0
123,1.0609756097560976,3225.5,245.83858816964286,245.66641422193877,245.7870495854592,96.0,97.0,95.0,254.0,254.0,255.0,0.0
124,1.2361111111111112,2778.0,225.44790338010205,224.36710778061226,225.7193678252551,64.0,57.0,66.0,239.0,239.0,237.0,0.0
125,1.3406593406593406,5769.5,213.93166055484693,212.2712252869898,214.19616948341837,52.0,49.0,60.0,230.0,230.0,232.0,2.0
126,0.49047619047619045,5880.0,185.80151865433675,184.52387595663265,185.44543207908163,62.0,38.0,53.0,198.0,198.0,200.0,4.0
127,1.3,6369.0,223.81000876913265,222.04914700255102,223.59897161989795,49.0,50.0,53.0,241.0,241.0,242.0,2.0
128,0.8765432098765432,2722.0,224.80652104591837,223.83938536352042,225.13321109693877,66.0,67.0,75.0,235.0,235.0,235.0,0.0
129,0.9504950495049505,4825.0,241.69003109056123,242.44698660714286,241.62193080357142,68.0,78.0,67.0,254.0,254.0,255.0,1.0
130,0.5365853658536586,5467.5,224.34285315688774,223.5530931122449,223.99848533163265,61.0,58.0,59.0,241.0,241.0,242.0,1.0
131,1.296,10276.0,225.7732780612245,225.8649354272959,225.3466198979592,45.0,49.0,46.375,251.0,251.0,254.0,1.0
132,1.0,3063.0,240.79380580357142,240.2399752869898,240.8357780612245,67.0,66.0,73.0,252.0,252.0,251.0,0.0
133,0.7950819672131147,3762.0,219.0838249362245,218.6741868622449,218.92600047831633,61.0,57.0,59.0,231.0,231.0,231.0,2.0
134,1.0420168067226891,5889.0,219.53852439413265,217.89415258290816,219.32214604591837,53.0,52.0,57.0,236.0,236.0,236.0,2.0
135,1.5596330275229358,10503.5,211.46871014030611,209.3206712372449,211.3140943877551,49.0,45.0,49.0,236.0,236.0,236.0,3.0
136,0.979381443298969,2909.5,242.07358099489795,242.0430683992347,242.1027383609694,65.0,66.0,66.0,252.0,252.0,254.0,0.0
137,1.3578947368421053,5870.5,228.9100566007653,228.20942283163265,228.6774752869898,45.0,48.0,47.0,247.0,247.0,247.0,0.0
138,0.6344827586206897,4105.0,200.38881138392858,198.79089604591837,199.49762834821428,77.0,46.0,66.0,212.0,212.0,214.0,4.0
139,1.1264367816091954,3310.5,247.08205117984693,247.03519610969389,247.13335060586735,100.0,105.0,102.0,255.0,255.0,255.0,0.0
140,0.9146341463414634,2438.0,225.37551817602042,224.39014668367346,225.64732142857142,66.0,67.0,75.0,236.0,236.0,236.0,0.0
141,1.013986013986014,8487.0,223.7716836734694,221.8213488520408,222.8611288265306,56.0,54.0,55.0,246.0,246.0,246.0,1.0
142,1.0873015873015872,6804.5,214.2090441645408,211.9436583227041,213.90395806760205,60.0,49.0,57.0,231.0,231.0,231.0,3.0
143,1.0210526315789474,4965.0,232.8162468112245,232.36714764030611,232.72462930484693,60.0,62.0,61.0,247.0,247.0,247.0,0.0
144,1.0466666666666666,11208.0,200.48579001913265,197.9525071747449,200.02090640943877,35.0,31.0,35.0,229.0,229.0,229.0,3.0
145,0.7837837837837838,2352.5,224.78260522959184,224.35415338010205,224.6190808354592,86.375,76.0,81.0,233.0,233.0,233.0,0.0
146,1.0211267605633803,7967.5,225.46362802933675,224.78441884566325,225.28091119260205,59.0,58.0,59.0,248.0,248.0,248.0,1.0
147,1.4956521739130435,11119.0,206.02556999362244,200.46568080357142,205.5491270727041,44.0,39.0,49.0,233.0,233.0,234.0,2.0
148,0.8494623655913979,3088.5,242.9771803252551,242.6279296875,243.4234693877551,93.0,83.0,90.0,251.0,251.0,252.0,0.0
149,1.2264150943396226,5696.0,220.50544084821428,218.79017857142858,219.9783163265306,61.0,51.0,57.0,237.0,237.0,237.0,3.0
150,1.0310077519379846,8352.0,222.8201132015306,220.35241948341837,223.1386120854592,40.0,39.0,45.0,246.0,246.0,248.0,2.0
151,0.7902097902097902,6808.5,209.95485889668367,207.76799665178572,209.4957948022959,58.0,47.0,56.0,226.0,226.0,227.0,3.0
152,0.8275862068965517,3366.0,236.93211894132654,236.95057397959184,236.73343829719389,66.0,72.0,64.0,249.0,249.0,249.0,1.0
153,1.1631205673758864,11375.0,225.96378746811226,225.69044961734693,225.30799585459184,45.0,49.0,46.0,251.0,251.0,254.0,1.0
154,1.3185185185185184,8316.0,225.74125079719389,222.57752710459184,224.66358418367346,66.0,56.0,61.0,247.0,247.0,248.0,3.0
155,0.4642857142857143,6160.5,195.2669602997449,193.65365911989795,194.0816725127551,67.375,41.0,55.0,209.0,209.0,211.0,4.0
156,1.0823529411764705,2848.0,237.09155771683675,236.02000956632654,237.11567283163265,75.0,68.0,76.0,246.0,246.0,246.0,0.0
157,1.3918918918918919,3800.5,242.46169483418367,243.29051737882654,242.4460897640306,74.0,90.0,75.0,254.0,254.0,255.0,1.0
158,0.8352941176470589,2739.5,245.64409279336735,245.93504862882654,245.77108577806123,97.0,93.0,98.0,253.0,253.0,255.0,0.0
159,1.2837837837837838,3480.0,235.3192761479592,235.02289939413265,235.0255899234694,61.0,63.0,59.0,248.0,248.0,248.0,1.0
160,1.3095238095238095,8898.0,219.6015027104592,219.25442442602042,219.73588966836735,34.0,43.0,40.0,245.0,245.0,246.0,1.0
161,1.3466666666666667,3445.0,214.13026147959184,211.81983418367346,213.15509406887756,95.0,51.0,77.0,223.0,223.0,224.0,4.0
162,0.7211538461538461,2890.0,212.71127630739795,211.98003029336735,212.7760682397959,56.0,55.0,58.0,223.0,223.0,222.0,0.0
163,1.3076923076923077,9607.0,192.03501674107142,191.7069316007653,192.2686144770408,20.0,27.0,24.0,220.0,220.0,221.0,1.0
164,1.4025974025974026,3875.0,196.7818678252551,194.9176100127551,196.1007453762755,75.0,42.0,63.0,206.0,206.0,206.0,4.0
165,0.6373626373626373,1896.0,243.1123644770408,242.66177056760205,242.9231505102041,97.0,87.375,93.0,251.0,251.0,251.0,0.0
166,1.0222222222222221,7389.0,217.67283163265307,215.3790656887755,217.54751275510205,51.0,50.0,56.0,235.0,235.0,236.0,2.0
167,0.7926829268292683,7062.0,209.63002232142858,208.5584343112245,209.86491549744898,44.0,43.375,53.0,227.0,227.0,230.0,2.0
168,1.110236220472441,6384.0,217.8955676020408,215.68239795918367,217.6422193877551,61.0,51.0,59.0,235.0,235.0,236.0,3.0
169,0.9285714285714286,7041.0,222.1927415497449,222.16505899234693,222.6912069515306,45.0,53.0,54.0,242.0,242.0,242.0,1.0
170,1.4848484848484849,3102.0,226.1203164859694,225.0101243622449,226.38683832908163,64.0,56.0,66.0,239.0,239.0,238.0,0.0
171,1.0,4818.5,196.48194355867346,193.5095663265306,195.4364636479592,87.0,46.0,71.0,207.0,207.0,207.0,4.0
172,0.9302325581395349,3116.0,236.57328204719389,236.4229113520408,236.53852439413265,62.0,65.0,62.0,247.0,247.0,247.0,0.0
173,0.5255102040816326,6436.5,184.73028938137756,183.2569953762755,184.6574258609694,53.375,34.0,44.0,197.0,197.0,198.0,4.0
174,1.1222222222222222,3909.5,242.54699457908163,243.36274314413265,242.47785794005102,74.0,71.0,73.0,253.0,253.0,255.0,0.0
175,0.7055214723926381,6797.0,227.1530612244898,225.04143415178572,226.87109375,63.0,50.0,60.0,243.0,243.0,243.0,3.0
176,1.3482142857142858,8378.5,220.82621173469389,220.79555963010205,221.30383051658163,34.0,47.0,43.0,247.0,247.0,247.0,1.0
177,1.1979166666666667,5575.5,195.0050821109694,192.1917649872449,194.18197943239795,76.0,43.0,63.0,207.0,207.0,207.0,4.0
178,0.7551020408163265,3744.5,220.8155293367347,220.45190927933675,220.70958227040816,62.0,58.0,61.0,232.0,232.0,232.0,2.0
179,0.7984496124031008,8225.5,223.0914979272959,220.00141501913265,222.45922353316325,55.0,45.0,53.0,245.0,245.0,245.0,3.0
180,1.0,6380.5,215.01018415178572,212.78288424744898,214.9992227359694,54.0,50.0,59.0,231.0,231.0,232.0,2.0
181,1.1071428571428572,4043.0,247.20461973852042,246.9362643494898,247.13032126913265,106.0,108.0,106.0,255.0,255.0,255.0,0.0
182,1.353448275862069,9025.5,214.43012595663265,211.83137356505102,214.0979153380102,53.0,47.0,52.0,238.0,238.0,239.0,3.0
183,0.7553956834532374,5784.5,186.4922871492347,185.29308832908163,185.48070790816325,47.0,25.0,33.0,203.0,203.0,206.0,4.0
184,1.16793893129771,8300.5,224.1760801977041,222.82836415816325,224.80317283163265,50.0,50.0,56.375,245.0,245.0,246.0,1.0
185,0.5797101449275363,3149.0,200.31124441964286,199.1745057397959,199.92251275510205,110.0,73.0,97.0,208.0,208.0,208.0,4.0
186,0.6693548387096774,3414.5,186.2753308354592,185.03348214285714,186.20151068239795,51.0,30.0,39.0,197.0,197.0,198.0,4.0
187,0.4946236559139785,4917.0,201.7028659119898,199.4033203125,200.16517857142858,72.0,43.0,58.0,215.0,215.0,217.0,4.0
188,0.803030303030303,6179.0,197.10116390306123,195.4714205994898,196.72775829081633,45.0,40.0,47.0,211.0,211.0,211.0,2.0
189,0.6490066225165563,4822.0,196.6862643494898,193.9698262117347,195.7894212372449,88.0,47.0,74.0,207.0,207.0,208.0,4.0
190,0.7540983606557377,4106.0,239.568359375,241.0851602359694,240.0526745854592,64.0,61.0,62.0,252.0,252.0,255.0,0.0
191,0.7114093959731543,6061.5,221.1805046237245,219.04067681760205,220.9052734375,73.0,58.0,70.0,236.0,236.0,236.0,3.0
192,0.6470588235294118,5253.0,221.97413105867346,219.97345344387756,222.33211096938774,42.0,42.0,50.0,241.0,241.0,241.0,2.0
193,1.114864864864865,9631.0,225.66159119897958,222.56166294642858,224.91938376913265,55.0,50.0,54.0,250.0,250.0,251.0,3.0
194,1.048780487804878,3029.5,246.95762914540816,246.83201132015307,246.94517299107142,103.0,106.0,104.0,255.0,255.0,255.0,0.0
195,1.6106194690265487,11980.5,213.62360491071428,206.77084661989795,212.8375916772959,54.0,45.0,58.0,238.0,238.0,239.0,2.0
196,0.6989247311827957,2789.0,245.49605389030611,245.21615911989795,245.4488600127551,90.0,89.0,90.0,254.0,254.0,254.0,0.0
197,1.0847457627118644,7487.5,217.21944754464286,215.7744738520408,216.74655213647958,50.0,46.0,48.0,237.0,237.0,237.0,3.0
198,0.6095238095238096,2793.0,243.95944276147958,243.83575813137756,244.04308832908163,87.0,85.0,88.0,252.0,252.0,252.0,0.0
199,0.7474747474747475,3416.0,203.3473573022959,201.87448182397958,202.79484215561226,107.0,63.0,93.0,212.0,212.0,212.0,4.0
200,0.7415730337078652,2752.0,240.31098533163265,239.41645408163265,241.03404017857142,95.0,108.0,96.0,248.0,248.0,248.0,1.0
201,1.2195121951219512,4127.5,238.50564014668367,237.8229830994898,238.3681640625,56.0,51.0,54.0,252.0,252.0,252.0,0.0
202,0.6585365853658537,4084.5,214.04161352040816,211.25456393494898,213.01530612244898,78.0,44.0,60.0,226.0,226.0,227.0,4.0
203,1.2720588235294117,10650.5,191.00229193239795,190.63946906887756,191.2244499362245,19.0,26.0,24.0,220.0,220.0,220.0,1.0
